N Facture;Date Facture;Identifiant Fiscale;Nom Fournisseur; Montant HT ; Taux Tva ; Montant Tva ;Mode Reglement;N Reglement;Designation;Date Paiement;ICE;
FA°L180106006;01/01/2018;1085125;MAGHREBAIL; 20 644,88   ; 20 ; 4 128,98   ;PRELEVMENT;PRELEV;LEASING;10/01/2018;001529688000054;PS
FA°L180108001;01/01/2018;1085125;MAGHREBAIL; 25 873,51   ; 20 ; 5 174,70   ;PRELEVMENT;PRELEV;LEASING;22/01/2018;001529688000054;PS
FA°L180110001;01/01/2018;1085125;MAGHREBAIL; 25 216,27   ; 20 ; 5 043,25   ;PRELEVMENT;PRELEV;LEASING;25/01/2018;001529688000054;PS
FA°35/2018;26/01/2018;6100180;INTER TRIDIM; 2 775,00   ; 20 ; 555,00   ;CHEQUE;CH°797680;CENTRAGE TUBE CARRE;30/01/2018;0015393355000072;PS
FA°0018/17;17/05/2017;2861646;ANB; 1 791,35   ; 20 ; 358,27   ;CHEQUE;CH°914356;PACK IMPRESSION;18/01/2018;000039842000093;PS
FA000014;23/01/2018;14477106;MELODY HABIBA CAR; 2 800,00   ; 20 ; 560,00   ;CHEQUE;CH°797681;LOCATION MATERIEL DE TRANSPORT;27/12/2017;000209587000034;PS
FA°207/HF/17;23/11/2017;18749836;GLOBAL TECHNIQUE ; 3 600,00   ; 20 ; 720,00   ;CHEQUE;CH°914435;LOCATION NACELLE;12/01/2018;001552928000067;PS
FA°02/2018;30/01/2018;3384662;ANA NETTOYAGE; 3 333,33   ; 20 ; 666,67   ;CHEQUE;CH°797655;LOCATION NACELLE;23/01/2018;000077338000090;PS
FA°FC0170001295;30/12/2017;40183274;JH TECHNIQUE; 1 800,00   ; 20 ; 360,00   ;CHEQUE;CH°797631;INTERVENTION TECHNIQUE;15/01/2018;001538425000059;PS
FA°2017041;28/11/2017;18756824;SUPER PUB AND POSE; 41 250,00   ; 20 ; 8 250,00   ;CHEQUE;CH°797640;POSE;17/01/2018;000155706000085;PS
FA°0802017;08/11/2017;40468996;DESIGN FINGERS; 11 800,00   ; 20 ; 2 360,00   ;CHEQUE;CH°914438;POSE;19/01/2018;001448747000051;PS
FA°0105/2017;03/11/2017;40494161;PHC MALAK; 1 400,00   ; 20 ; 280,00   ;CHEQUE;CH°914416;POSE;23/01/2018;000199551000085;PS
FA°000185878812;01/12/2017;3332162;MAROC TELECOM; 120,00   ; 20 ; 24,00   ;CHEQUE;CH°797657;FRAIS COM;10/01/2018;001522585000066;PS
FA°000185878612;01/12/2017;3332162;MAROC TELECOM; 650,00   ; 20 ; 130,00   ;CHEQUE;CH°797657;FRAIS COM;10/01/2018;001522585000066;PS
FA°000185878712;01/12/2017;3332162;MAROC TELECOM; 650,00   ; 20 ; 130,00   ;CHEQUE;CH°797657;FRAIS COM;10/01/2018;001522585000066;PS
FA°000105677712;01/12/2017;3332162;MAROC TELECOM; 4 834,00   ; 20 ; 966,80   ;CHEQUE;CH°797657;FRAIS COM;10/01/2018;001522585000066;PS
FA°000185878912;01/12/2017;3332162;MAROC TELECOM; 824,17   ; 20 ; 164,83   ;CHEQUE;CH°797657;FRAIS COM;10/01/2018;001522585000066;PS
FA°2017-11-00553;27/11/2017;1110726;DIRENT; 1 458,33   ; 20 ; 291,67   ;CHEQUE;CH°797663;LOCATION MATERIEL DE TRANSPORT;24/01/2018;000029321000047;PS
FA°85/17;15/12/2017;40109506;2D CONSULT; 12 500,00   ; 20 ; 2 500,00   ;CHEQUE;CH°935454;entretien et reparation;02/01/2018;000049736000093;PS
